VID,Pen,CreepTrt,WeanTrt,D_42_BW,Creep_Gain,Shipping_Loss,Day56_InitialBW,Day56_ADG,Day56_MMBW,Day56_DMI,Day56_Residual,D_1_EV,AVE_TTB,BVFREQ,BVDUR,BVFREQsd,BVDURsd,uDMI,sdDMI,cvDMI
248,8,A,A,260.909090909091,34.47302012,-5.44310844,287.234614024285,1.2182185207656,1.2182185207656,6.97099629701887,-0.11823325,0.44,36.1806878333333,81.0227272727273,6451.31818181818,81.0227272727273,6451.31818181818,7.20561726542425,2.9035041803441,0.402950097596274
249,8,A,A,210.454545454545,23.13321087,-4.5359237,222.885028942498,0.9460633207656,0.9460633207656,6.53616197488889,0.26623206,0.389,23.2756613833333,91.3863636363636,7143.34090909091,91.3863636363636,7143.34090909091,7.11198702144776,2.38906572548872,0.335920990615417
276,6,B,A,176.818181818182,29.02991168,-3.62873896,199.973593036427,1.1469397584688,1.1469397584688,6.24431095490741,0.26623206,0.365,69.7802083333333,76.6363636363636,7471,76.6363636363636,7471,6.70958200258209,2.35199485442148,0.350542679635832
298,6,B,A,198.181818181818,30.84428116,-6.80388555,217.976155530356,1.0637812402552,1.0637812402552,6.28686296968519,-0.14907721,0.555,84.1020833333334,85.6818181818182,5155.65909090909,85.6818181818182,5155.65909090909,6.73149109806061,2.17724051257557,0.323441044615338
322,8,A,A,198.181818181818,34.47302012,-3.62873896,232.884212612142,1.2981371220416,1.2981371220416,7.2877563697963,0.37594506,0.662,51.4835978833333,59.1818181818182,8870.54545454545,59.1818181818182,8870.54545454545,7.56942876579104,2.6452820908981,0.349469183573413
346,6,B,A,189.090909090909,13.6077711,-2.26796185,185.4284096,0.7160273584688,0.7160273584688,5.60694546418518,-0.05311524,0.572,48.0484375,63.9318181818182,6887.70454545455,63.9318181818182,6887.70454545455,6.27105790943284,2.38239038220184,0.37990246886706
364,5,A,B,190.909090909091,40.8233133,-14.06136347,216.504501506071,1.2279383622968,1.2279383622968,6.2925154727963,-0.40683156,0.318,42.8057291666667,50.6590909090909,6936.13636363636,50.6590909090909,6936.13636363636,6.78187827276119,2.15623651045619,0.317940904235412
367,7,B,B,160,17.23651006,-8.16466266,164.442219718214,1.087540797448,1.087540797448,5.83263233324528,-0.31521779,0.362,34.7870370333333,58.75,8191.29545454546,58.75,8191.29545454546,6.20431690265151,2.45958186900694,0.396430728410375
453,6,B,A,195,35.83379723,-12.24699399,218.036634493929,1.0454215597448,1.0454215597448,6.29483124513208,-0.11102613,0.562,47.6114583333333,82.7727272727273,7289.5,82.7727272727273,7289.5,6.8784430744697,2.12842510077705,0.309434137599685
472,5,A,B,182.727272727273,37.64816671,-4.98951607,211.333552706071,0.953623202552,0.953623202552,6.05976504459259,-0.15374692,0.769,22.9894179833333,63.0909090909091,5776.09090909091,63.0909090909091,5776.09090909091,6.68815764948485,2.23904913635805,0.334778163689145
510,8,A,A,174.545454545455,41.27690567,-9.97903214,200.457424518214,0.9838626389792,0.9838626389792,6.27224014648148,0.07416901,0.428,21.1357142833333,77.6136363636364,8132.68181818182,77.6136363636364,8132.68181818182,6.675574187,2.55027723091329,0.382031142112044
538,7,B,B,164.090909090909,41.73049804,0.90718474,201.747641742498,1.1177802792344,1.1177802792344,6.2133875748,-0.21494439,0.504,36.7559895833333,45.1590909090909,5907.40909090909,45.1590909090909,5907.40909090909,6.66902328731343,2.52572836302438,0.378725377646994
571,6,B,A,190,32.20505827,-17.69010243,202.906821318214,1.0475815194896,1.0475815194896,6.09970185443636,-0.21905044,0.319,51.5411458333333,63.25,5712.38636363636,63.25,5712.38636363636,6.4538863578209,2.41871411310887,0.374768624516892
